global_epoch,training_stage,stage_epoch,train_accuracy,train_precision,train_recall,train_f1,train_tss,train_hss,train_tp,train_tn,train_fp,train_fn,train_loss,train_classification_loss,train_ewc_loss,holdout_accuracy,holdout_precision,holdout_recall,holdout_f1,holdout_tss,holdout_hss,holdout_tp,holdout_tn,holdout_fp,holdout_fn,holdout_loss,learning_rate,epoch_seconds
48,2,18,0.8382747933884298,0.8624239070282236,0.8049586776859504,0.832701041944964,0.6765495867768595,0.6765495867768595,7792,8437,1243,1888,0.3670897723229463,0.363280911879106,0.0038088626120516586,0.5921161825726141,0.12426614481409001,0.5906976744186047,0.20533548908649957,0.18295279970334272,0.06793851383517396,127,1300,895,88,0.6855295496857513,0.001,24.7314868979156
49,2,19,0.8410640495867768,0.8684298627385336,0.8039256198347108,0.8349337481894747,0.6821280991735538,0.6821280991735538,7782,8501,1179,1898,0.3632463895584926,0.35922316657610176,0.0040232242923999625,0.750207468879668,0.19623233908948196,0.5813953488372093,0.2934272300469484,0.34813794564814327,0.1846623318965275,125,1683,512,90,0.6124544740712494,0.001,24.690283429808915
50,2,20,0.8386363636363636,0.8632535460992907,0.8047520661157025,0.8329769033361847,0.6772727272727272,0.6772727272727272,7790,8446,1234,1890,0.36497917313221073,0.3607418679008799,0.004237304478575868,0.8904564315352697,0.3237410071942446,0.20930232558139536,0.2542372881355932,0.16647772421465276,0.19805387145972245,45,2101,94,170,0.3224043711834429,0.001,24.618512485176325
51,2,21,0.8429235537190083,0.8682196339434276,0.8085743801652893,0.8373361861460282,0.6858471074380166,0.6858471074380166,7827,8492,1188,1853,0.3588536070398063,0.3544340245979877,0.004419582991375903,0.8680497925311204,0.2880658436213992,0.32558139534883723,0.30567685589519655,0.2467659055994067,0.23307548359335128,70,2022,173,145,0.4209086839341524,0.001,24.6692451313138
52,2,22,0.8511363636363637,0.8785077951002227,0.8149793388429752,0.8455519828510182,0.7022727272727273,0.7022727272727273,7889,8589,1091,1791,0.3460860777984966,0.3414976765301602,0.004588401727840181,0.6979253112033195,0.16903225806451613,0.6093023255813953,0.26464646464646463,0.3159082481326482,0.1452610040679122,131,1551,644,84,0.658385365879882,0.001,24.66810746304691
53,2,23,0.8493801652892562,0.8766146993318485,0.8132231404958677,0.8437299035369774,0.6987603305785124,0.6987603305785124,7872,8572,1108,1808,0.3501621136488008,0.3453629791244002,0.004799135631981714,0.8278008298755186,0.2222222222222222,0.37209302325581395,0.27826086956521734,0.24453038088679344,0.18749746131037004,80,1915,280,135,0.5097880044913391,0.001,24.594372048974037
54,2,24,0.8509814049586777,0.8782986304420444,0.8148760330578513,0.8453994962756551,0.7019628099173554,0.7019628099173554,7888,8587,1093,1792,0.3477185069036878,0.3426913942187286,0.005027112912017206,0.775103734439834,0.20646319569120286,0.5348837209302325,0.2979274611398964,0.3335169783334216,0.1941937434068883,115,1753,442,100,0.590409388136567,0.001,24.616653623990715
55,2,25,0.8522210743801653,0.8798885793871867,0.815805785123967,0.8466362905387296,0.7044421487603306,0.7044421487603306,7897,8602,1078,1783,0.3445191870050982,0.33932093342473685,0.005198254069882976,0.8593360995850622,0.27037037037037037,0.3395348837209302,0.30103092783505153,0.24978545319701223,0.22394680598432676,73,1998,197,142,0.44518044252118627,0.001,24.61711736023426
56,2,26,0.8551136363636364,0.8836067403191608,0.8179752066115702,0.8495252400622284,0.7102272727272727,0.7102272727272727,7918,8637,1043,1762,0.3412067963072091,0.33581318352833267,0.005393613494686351,0.4912863070539419,0.12021036814425244,0.7441860465116279,0.20698576972833116,0.21070085288976004,0.06306266311086306,160,1024,1171,55,0.984751547520586,0.001,24.58702176064253
57,2,27,0.8602272727272727,0.8870144284128746,0.8256198347107438,0.8552166934189407,0.7204545454545455,0.7204545454545455,7992,8662,1018,1688,0.33304018511259853,0.3274456070966957,0.005594577151543099,0.75850622406639,0.1905564924114671,0.5255813953488372,0.2797029702970297,0.30690257985908775,0.17117042587263412,113,1715,480,102,0.5983518232943111,0.001,24.655072609893978
